rank	char	frequency_weight
5621	靺	3.56090678916434e-07
5622	屃	3.550942831827221e-07
5623	痈	3.55060013392895e-07
5624	磔	3.54090672756415e-07
5625	樘	3.530711298839602e-07
5626	涘	3.510996818821305e-07
5627	夤	3.5109547331145e-07
5628	橛	3.500882555388453e-07
5629	撄	3.500654090122939e-07
5630	镏	3.490948659270481e-07
5631	耨	3.490371483862867e-07
5632	玹	3.490206147157561e-07
5633	峤	3.480816359106141e-07
5634	樨	3.480623967303603e-07
5635	蕖	3.480611942815945e-07
5636	隈	3.480251208186185e-07
5637	庥	3.470918536451144e-07
5638	馑	3.460771205677232e-07
5639	莪	3.460584826118523e-07
5640	渑	3.450801236096283e-07
5641	箧	3.450726083048417e-07
5642	旒	3.440870346100225e-07
5643	溦	3.431035652005437e-07
5644	缃	3.430849272446728e-07
5645	汆	3.430299152136346e-07
5646	菽	3.420572678430485e-07
5647	茭	3.420566666186656e-07
5648	庠	3.410861235334197e-07
5649	呋	3.410205900756802e-07
5650	狯	3.400945375947712e-07
5651	魆	3.400939363703883e-07
5652	啶	3.390160747327892e-07
5653	脶	3.381026479639219e-07
5654	墀	3.380891204153059e-07
5655	蹼	3.380641696034142e-07
5656	孓	3.380611634814996e-07
5657	玢	3.370948289669342e-07
5658	殳	3.370695775428511e-07
5659	狳	3.360680714018843e-07
5660	岈	3.350999332141702e-07
5661	秫	3.350800928095334e-07
5662	掾	3.350800928095334e-07
5663	凇	3.350410132246429e-07
5664	狺	3.350374058783453e-07
5665	鞨	3.340903105440338e-07
5666	铵	3.340214703521881e-07
5667	蝰	3.330292831891568e-07
5668	椋	3.320872982621002e-07
5669	媸	3.320785805085477e-07
5670	镲	3.320307831701046e-07
5671	嗪	3.320139488873825e-07
5672	涞	3.30076169450997e-07
5673	蛄	3.300412984367869e-07
5674	刿	3.290614363736057e-07
5675	坩	3.270485038893537e-07
5676	枋	3.26071647948087e-07
5677	坻	3.260674393774065e-07
5678	骟	3.260668381530236e-07
5679	荸	3.250361726294846e-07
5680	豇	3.250205407955283e-07
5681	杓	3.240650283198558e-07
5682	瞽	3.240644270954729e-07
5683	瑷	3.240376726104325e-07
5684	眇	3.22076746035304e-07
5685	讵	3.220716356280491e-07
5686	黻	3.210713319358481e-07
5687	涠	3.210100070487891e-07
5688	艨	3.200929729336242e-07
5689	圉	3.200842551800717e-07
5690	茛	3.200791447728167e-07
5691	逋	3.200704270192643e-07
5692	纡	3.200692245704984e-07
5693	檑	3.190962765877208e-07
5694	崃	3.190869576097854e-07
5695	缌	3.180953716711369e-07
5696	槲	3.180605006569269e-07
5697	褫	3.170776324718309e-07
5698	秭	3.170629024744491e-07
5699	镠	3.160580895993762e-07
5700	詈	3.150728165167485e-07
5701	渌	3.150589883559411e-07
5702	醅	3.15016301424753e-07
5703	槎	3.140674024172927e-07
5704	廋	3.140475620126559e-07
5705	钼	3.14029525281168e-07
5706	乂	3.130670987250917e-07
5707	枥	3.130547736252416e-07
5708	跬	3.130466570960721e-07
5709	逄	3.120848317643787e-07
5710	睃	3.110926446013474e-07
5711	狴	3.090857243609247e-07
5712	羕	3.080893286272128e-07
5713	窳	3.080887274028299e-07
5714	璁	3.080800096492773e-07
5715	壅	3.080589667958747e-07
5716	髀	3.080409300643868e-07
5717	鸹	3.060872181818535e-07
5718	邴	3.060836108355559e-07
5719	缗	3.060806047136413e-07
5720	椹	3.060736906332376e-07
5721	酐	3.060105620730298e-07
5722	堞	3.050896199993757e-07
5723	鬲	3.05065270411867e-07
5724	艟	3.040887150827919e-07
5725	筢	3.030908162881226e-07
5726	喈	3.030820985345701e-07
5727	疴	3.030646630274651e-07
5728	蹁	3.020805923936033e-07
5729	蛉	3.02070672191285e-07
5730	镬	3.020496293378824e-07
5731	隰	3.020478256647335e-07
5732	捩	3.010640556430632e-07
5733	镚	3.010183625899604e-07
5734	郏	3.000730709287977e-07
5735	栊	3.000730709287977e-07
5736	霈	3.000607458289476e-07
5737	怙	3.000589421557988e-07
5738	岙	2.990844911120639e-07
5739	俣	2.990616445855125e-07
5740	欹	2.980595372201628e-07
5741	螅	2.980454084471639e-07
5742	耧	2.960862855451843e-07
5743	诔	2.960682488136963e-07
